,RequestBrand,SanctionBrand,similarityBrand,RequestId,RequestName,enterprise_id,SanctionName,RequestTrade,SanctionTrade,similarityTrade,RequestPlace,SanctionPlace,similarityPlace,boost_similarity
80,新乐天,天乐信达,0.3116525159888295,k,新乐天牙科器材公司,09614403-2,四川天乐信达光电有限公司,,,0.0,,,0.0,0.3116525159888295
81,新乐天,开乐特种,0.30701672728326224,j,东莞新乐天牙科器材有限公司,14912370-3,合肥开乐特种车辆有限公司,,,0.0,,,0.0,0.30701672728326224
82,新乐天,开乐特种,0.30701672728326224,k,新乐天牙科器材公司,14912370-3,合肥开乐特种车辆有限公司,,,0.0,,,0.0,0.30701672728326224
83,新乐天,乐普,0.3062060380066032,j,东莞新乐天牙科器材有限公司,MA1MCRL2-8,江苏乐普生物技术有限公司,,,0.0,,,0.0,0.3062060380066032
84,新乐天,乐普,0.3062060380066032,k,新乐天牙科器材公司,MA1MCRL2-8,江苏乐普生物技术有限公司,,,0.0,,,0.0,0.3062060380066032
85,乐天,乐普,0.4213193775343518,l,新乐天,MA1MCRL2-8,江苏乐普生物技术有限公司,,,0.0,,,0.0,0.4213193775343518
86,乐天,乐金,0.41558936560059456,l,新乐天,MA5ANTW5-4,乐金化学（广州）信息电子材料有限公司,,,0.0,,,0.0,0.41558936560059456
87,乐天,乐图,0.4106121313934229,l,新乐天,39447252-8,四川乐图林业有限公司,,,0.0,,,0.0,0.4106121313934229
88,乐天,乐星,0.40626550621745805,l,新乐天,61437062-0,乐星汽车电子（青岛）有限公司,,,0.0,,,0.0,0.40626550621745805
89,乐天,乐驰,0.39865198140600205,l,新乐天,55798527-3,宁波乐驰汽车部件有限公司,,,0.0,,,0.0,0.39865198140600205
90,乐天,乐凯,0.39733784830230867,l,新乐天,74341297-0,保定市乐凯化学有限公司,,,0.0,,,0.0,0.39733784830230867
91,乐天,乐帆,0.38868210182868634,l,新乐天,MA282GRB-4,宁波乐帆办公家具有限公司,,,0.0,,,0.0,0.38868210182868634
92,乐天,乐居,0.3880822040269256,l,新乐天,76637968-3,深圳市乐居家政服务有限公司,,,0.0,,,0.0,0.3880822040269256
93,药研所,药物研究所,0.5310860864364731,m,云南省药研所,43120149-6,云南省药物研究所,,,0.0,云南省,云南省,1.0,0.5779774777928258
94,药研所,生物制品研究所,0.3141855193045664,m,云南省药研所,13270804-3,上海生物制品研究所有限责任公司,,,0.0,,,0.0,0.3141855193045664
95,药研所,研创,0.3106129938672189,m,云南省药研所,05381460-6,宁波研创光电科技有限公司,,,0.0,,,0.0,0.3106129938672189
96,药研所,兵器工业二研究所分所,0.3086942996411221,m,云南省药研所,49350262-2,中国兵器工业第五二研究所烟台分所有限责任公司,,,0.0,,,0.0,0.3086942996411221
97,药研所,中核北研防水,0.2809046118222619,m,云南省药研所,73557182-4,北京中核北研防水装饰工程有限公司,,,0.0,,,0.0,0.2809046118222619
